,name,year,sellingprice,kmdriven,fuel,sellertype,transmission,owner,kmdriven_sc,year_sc,sellingprice_sc
747,Maruti 800 Std,2003,98000,54000,Petrol,Individual,Manual,First Owner,-0.261923468041509,-2.394097916571583,-0.7020568593924509
748,Mahindra XUV500 W8 4WD,2013,900000,63654,Diesel,Dealer,Manual,First Owner,-0.0549281149282174,-0.0215388998294292,0.6843300812074591
749,Renault Lodgy 85PS RxL,2017,700000,60000,Diesel,Individual,Manual,First Owner,-0.1332750198666852,0.927484706867432,0.3385976770678306
750,Mahindra Scorpio S6 Plus 7 Seater,2015,890000,52000,Diesel,Dealer,Manual,First Owner,-0.3048062840997836,0.4529729035190014,0.6670434610004776
751,Maruti Swift LDI BSIV,2015,490000,59385,Diesel,Dealer,Manual,First Owner,-0.1464614858046046,0.4529729035190014,-0.0244213472787791
752,Hyundai i20 2015-2017 Magna 1.2,2015,525000,70378,Petrol,Dealer,Manual,First Owner,0.0892439126597017,0.4529729035190014,0.0360818234456557
753,Maruti Wagon R LXI BS IV,2013,330000,55425,Petrol,Dealer,Manual,First Owner,-0.2313694615999883,-0.0215388998294292,-0.3010072705904819
754,Mahindra Bolero 2011-2019 SLX 2WD BSIII,2013,550000,78413,Diesel,Dealer,Manual,Second Owner,0.2615256261738199,-0.0215388998294292,0.0792983739631093
755,Mahindra Bolero Power Plus SLX,2018,790000,40890,Diesel,Dealer,Manual,First Owner,-0.543020327303499,1.1647406085416476,0.4941772589306634
756,Honda Brio S MT,2015,350000,34823,Petrol,Dealer,Manual,Second Owner,-0.673105349816275,0.4529729035190014,-0.266434030176519
757,Toyota Innova Crysta 2.8 ZX AT BSIV,2017,1700000,75000,Diesel,Individual,Automatic,First Owner,0.1883461005703743,0.927484706867432,2.0672596977659725
758,Maruti Ciaz VDI SHVS,2017,750000,55545,Diesel,Dealer,Manual,First Owner,-0.2287964926364918,0.927484706867432,0.4250307781027377
759,Honda Amaze EX i-Dtech,2014,409999,56541,Diesel,Dealer,Manual,First Owner,-0.2074408502394711,0.2157170018447861,-0.1627160375966512
760,Hyundai EON Magna Plus,2016,220000,43700,Petrol,Individual,Manual,First Owner,-0.4827699707416232,0.6902288051932168,-0.4911600928672776
761,Tata Indica GLS BS IV,2009,68000,120000,Petrol,Individual,Manual,Second Owner,1.153209461881553,-0.9705625065262908,-0.7539167200133952
762,Hyundai EON Era Plus,2017,290000,20000,Petrol,Individual,Manual,First Owner,-0.9909313410321772,0.927484706867432,-0.3701537514184076
763,Honda City i DTec SV,2014,600000,27483,Diesel,Dealer,Manual,First Owner,-0.8304852847501428,0.2157170018447861,0.1657314749980164
764,Maruti Swift LXI,2019,470000,8000,Petrol,Individual,Manual,First Owner,-1.2482282373818248,1.401996510215863,-0.058994587692742
765,Hyundai i10 Sportz 1.2,2008,150000,30000,Petrol,Individual,Manual,First Owner,-0.7765172607408042,-1.207818408200506,-0.6121664343161475
766,Maruti Alto 800 LXI,2014,180000,56207,Petrol,Dealer,Manual,Second Owner,-0.2146022805212029,0.2157170018447861,-0.5603065736952032
767,Maruti Zen LXI,2006,80000,70000,Petrol,Individual,Manual,First Owner,0.0811390604246878,-1.682330211548937,-0.7331727757650174
768,Honda WR-V i-VTEC VX,2018,875000,1440,Petrol,Individual,Manual,First Owner,-1.3888838740529657,1.1647406085416476,0.6411135306900055
769,Maruti Alto 800 LXI,2019,300000,50000,Petrol,Individual,Manual,First Owner,-0.3476891001580582,1.401996510215863,-0.3528671312114262
770,Toyota Fortuner 2.8 2WD AT BSIV,2017,2800000,20000,Diesel,Individual,Automatic,First Owner,-0.9909313410321772,0.927484706867432,3.96878792053393
771,Toyota Innova Crysta 2.4 ZX MT,2017,1330000,91195,Diesel,Dealer,Manual,First Owner,0.5355897036022529,0.927484706867432,1.42765475010766
772,Volkswagen Polo 1.5 TDI Trendline,2011,220000,63657,Diesel,Dealer,Manual,First Owner,-0.05486379070413,-0.49605070317786,-0.4911600928672776
773,Mahindra Verito Vibe 1.5 dCi D4,2013,250000,60000,Diesel,Individual,Manual,First Owner,-0.1332750198666852,-0.0215388998294292,-0.4393002322463333
774,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,919999,75000,Diesel,Dealer,Manual,First Owner,0.1883461005703743,0.6902288051932168,0.7189015929594011
775,Volkswagen Vento Magnific 1.6 Highline,2013,380000,97248,Petrol,Dealer,Manual,First Owner,0.6653745464026211,-0.0215388998294292,-0.2145741695555748
776,Maruti Swift VDI,2012,450000,46000,Diesel,Individual,Manual,First Owner,-0.4334547322746074,-0.2587948015036446,-0.0935678281067048
777,Hyundai Verna 1.6 VTVT AT S Option,2016,770000,10000,Petrol,Individual,Automatic,First Owner,-1.2053454213235502,0.6902288051932168,0.4596040185167006
778,Maruti Swift Dzire LDI,2018,550000,80000,Diesel,Individual,Manual,First Owner,0.2955531407160608,1.1647406085416476,0.0792983739631093
779,Tata New Safari DICOR 2.2 GX 4x2,2011,320000,100000,Diesel,Individual,Manual,Second Owner,0.7243813012988068,-0.49605070317786,-0.3182938907974633
780,Maruti SX4 Vxi BSIV,2013,400000,35000,Petrol,Individual,Manual,First Owner,-0.6693102205951177,-0.0215388998294292,-0.1800009291416119
781,Maruti Celerio VXI AT,2017,450000,50000,Petrol,Individual,Automatic,First Owner,-0.3476891001580582,0.927484706867432,-0.0935678281067048
782,Maruti SX4 ZDI,2011,220000,90000,Diesel,Individual,Manual,Third Owner,0.5099672210074339,-0.49605070317786,-0.4911600928672776
783,Mahindra XUV500 W8 2WD,2012,400000,150000,Diesel,Individual,Manual,Second Owner,1.796451702755672,-0.2587948015036446,-0.1800009291416119
784,Hyundai Verna 1.6 SX VTVT (O),2013,530000,89000,Petrol,Individual,Manual,Second Owner,0.4885258129782965,-0.0215388998294292,0.0447251335491464
785,Maruti Swift Dzire VDI,2014,390000,60000,Diesel,Individual,Manual,Second Owner,-0.1332750198666852,0.2157170018447861,-0.1972875493485934
786,Fiat Grande Punto 1.3 Dynamic (Diesel),2012,185000,100000,Diesel,Individual,Manual,Second Owner,0.7243813012988068,-0.2587948015036446,-0.5516632635917125
787,Maruti SX4 Vxi BSIV,2012,300000,100000,Petrol,Individual,Manual,Second Owner,0.7243813012988068,-0.2587948015036446,-0.3528671312114262
788,Maruti Swift VDI BSIV,2014,575000,90000,Diesel,Individual,Manual,Second Owner,0.5099672210074339,0.2157170018447861,0.1225149244805628
789,Maruti Wagon R Stingray VXI,2014,300000,75000,Petrol,Individual,Manual,First Owner,0.1883461005703743,0.2157170018447861,-0.3528671312114262
790,Toyota Etios Liva 1.4 VD,2017,425000,36000,Diesel,Dealer,Manual,First Owner,-0.6478688125659804,0.927484706867432,-0.1367843786241584
791,Hyundai Xcent 1.2 Kappa SX,2016,350000,12000,Petrol,Individual,Manual,First Owner,-1.1624626052652756,0.6902288051932168,-0.266434030176519
792,Honda Amaze VX O iDTEC,2017,550000,12997,Diesel,Dealer,Manual,First Owner,-1.1410855214602258,0.927484706867432,0.0792983739631093
793,Maruti Ciaz 1.4 AT Zeta,2017,500000,40000,Petrol,Individual,Automatic,First Owner,-0.5621031804494312,0.927484706867432,-0.0071347270717977
794,Mahindra Scorpio S4 4WD,2015,600000,60000,Diesel,Individual,Manual,First Owner,-0.1332750198666852,0.4529729035190014,0.1657314749980164
795,Mahindra Quanto C8,2013,300000,25000,Diesel,Individual,Manual,Second Owner,-0.8837243008864907,-0.0215388998294292,-0.3528671312114262
796,Hyundai Verna CRDi 1.6 SX Option,2018,1150000,26430,Diesel,Dealer,Manual,First Owner,-0.8530630874048244,1.1647406085416476,1.1164955863819943
797,Maruti Swift 1.3 VXI ABS,2015,475000,24600,Petrol,Dealer,Manual,First Owner,-0.8923008640981457,0.4529729035190014,-0.0503512775892513
798,Maruti Wagon R LXI,2011,260000,28481,Petrol,Dealer,Manual,First Owner,-0.8090867595370638,-0.49605070317786,-0.4220136120393519
799,Ford Ecosport 1.0 Ecoboost Titanium Optional,2013,350000,100000,Petrol,Individual,Manual,First Owner,0.7243813012988068,-0.0215388998294292,-0.266434030176519
800,Mahindra XUV500 W8 2WD,2013,750000,41988,Diesel,Dealer,Manual,First Owner,-0.5194776612875063,-0.0215388998294292,0.4250307781027377
801,Maruti Wagon R LXI,2009,180000,30375,Petrol,Dealer,Manual,First Owner,-0.7684767327298777,-0.9705625065262908,-0.5603065736952032
802,Renault KWID Climber 1.0 AMT BSIV,2017,350000,7658,Petrol,Dealer,Automatic,First Owner,-1.2555611989277895,0.927484706867432,-0.266434030176519
803,Maruti Swift Dzire VDI,2017,611000,34400,Diesel,Dealer,Manual,First Owner,-0.6821750654126001,0.927484706867432,0.184746757225696
804,Renault KWID RXL BSIV,2017,325000,18500,Petrol,Dealer,Manual,First Owner,-1.0230934530758833,0.927484706867432,-0.3096505806939726
805,Hyundai EON 1.0 Era Plus,2012,225000,48000,Petrol,Dealer,Manual,First Owner,-0.3905719162163328,-0.2587948015036446,-0.4825167827637868
806,Maruti Wagon R AMT VXI,2014,300000,28942,Petrol,Dealer,Automatic,First Owner,-0.7992022704356315,0.2157170018447861,-0.3528671312114262
807,Mahindra Bolero Power Plus SLX,2017,400000,50000,Diesel,Individual,Manual,Second Owner,-0.3476891001580582,0.927484706867432,-0.1800009291416119
808,Mahindra XUV500 W8 2WD,2012,711000,53600,Diesel,Dealer,Manual,First Owner,-0.2705000312531639,-0.2587948015036446,0.3576129592955102
809,Toyota Innova 2.5 G (Diesel) 8 Seater,2015,851000,53652,Diesel,Dealer,Manual,First Owner,-0.2693850780356487,0.4529729035190014,0.5996256421932501
810,Maruti Ertiga VXI,2014,500000,25000,Petrol,Individual,Manual,First Owner,-0.8837243008864907,0.2157170018447861,-0.0071347270717977
811,Toyota Innova 2.5 G4 Diesel 8-seater,2007,250000,80000,Diesel,Individual,Manual,Second Owner,0.2955531407160608,-1.4450743098747214,-0.4393002322463333
812,Maruti Alto 800 VXI,2017,150000,50000,Petrol,Individual,Manual,First Owner,-0.3476891001580582,0.927484706867432,-0.6121664343161475
813,Mahindra Scorpio 1.99 S10,2016,610000,15000,Diesel,Individual,Manual,Second Owner,-1.0981383811778638,0.6902288051932168,0.1830180952049978
814,Mahindra KUV 100 G80 K2,2018,450000,5000,Petrol,Individual,Manual,First Owner,-1.3125524614692368,1.1647406085416476,-0.0935678281067048
815,Hyundai i20 1.4 Asta Option,2017,744000,106000,Diesel,Individual,Manual,First Owner,0.8530297494736306,0.927484706867432,0.4146588059785488
816,Chevrolet Spark 1.0,2008,120000,100000,Petrol,Individual,Manual,Third Owner,0.7243813012988068,-1.207818408200506,-0.6640262949370918
817,Renault KWID RXL,2016,220000,60000,Petrol,Individual,Manual,Third Owner,-0.1332750198666852,0.6902288051932168,-0.4911600928672776
818,Maruti Ertiga ZDI,2012,480000,120000,Diesel,Individual,Manual,Fourth & Above Owner,1.153209461881553,-0.2587948015036446,-0.0417079674857606
819,Maruti Celerio ZXI Optional AMT BSIV,2017,370000,82000,Petrol,Individual,Automatic,First Owner,0.3384359567743354,0.927484706867432,-0.2318607897625562
820,Fiat Palio D 1.9 EL PS,2003,55000,35000,Diesel,Individual,Manual,Second Owner,-0.6693102205951177,-2.394097916571583,-0.776389326282471
821,Hyundai EON Magna Plus,2013,125000,205000,Petrol,Individual,Manual,First Owner,2.975729144358224,-0.0215388998294292,-0.655382984833601
822,Hyundai Verna 1.6 CRDI,2011,260000,125000,Diesel,Individual,Manual,Third Owner,1.260416502027239,-0.49605070317786,-0.4220136120393519
823,Fiat Linea Classic 1.3 Multijet,2015,350000,130000,Diesel,Individual,Manual,First Owner,1.367623542172926,0.4529729035190014,-0.266434030176519
824,Maruti Alto 800 CNG LXI,2012,170000,97000,CNG,Individual,Manual,Second Owner,0.660057077211395,-0.2587948015036446,-0.5775931939021847
825,Hyundai Grand i10 Sportz,2015,350000,90000,Petrol,Individual,Manual,Second Owner,0.5099672210074339,0.4529729035190014,-0.266434030176519
826,Maruti Swift Dzire VXi,2009,250000,60000,Petrol,Individual,Manual,Third Owner,-0.1332750198666852,-0.9705625065262908,-0.4393002322463333
827,Tata Indigo CR4,2013,170000,60000,Diesel,Individual,Manual,First Owner,-0.1332750198666852,-0.0215388998294292,-0.5775931939021847
828,Mahindra Scorpio S11 BSIV,2018,1300000,35000,Diesel,Individual,Manual,First Owner,-0.6693102205951177,1.1647406085416476,1.3757948894867158
829,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,550000,25000,Petrol,Individual,Manual,First Owner,-0.8837243008864907,1.401996510215863,0.0792983739631093
830,Honda Brio 1.2 S MT,2017,400000,15000,Petrol,Individual,Manual,First Owner,-1.0981383811778638,0.927484706867432,-0.1800009291416119
831,Tata Nano Lx,2011,120000,20000,Petrol,Individual,Manual,First Owner,-0.9909313410321772,-0.49605070317786,-0.6640262949370918
832,Tata Nano Lx,2011,120000,20000,Petrol,Individual,Manual,First Owner,-0.9909313410321772,-0.49605070317786,-0.6640262949370918
833,Ford Figo Petrol Titanium,2010,275000,70000,Petrol,Individual,Manual,First Owner,0.0811390604246878,-0.7333066048520753,-0.3960836817288797
834,Tata Zest Revotron 1.2T XE,2016,285000,90000,Petrol,Individual,Manual,First Owner,0.5099672210074339,0.6902288051932168,-0.3787970615218983
835,Hyundai Creta 1.4 CRDi Base,2016,900000,80000,Diesel,Individual,Manual,First Owner,0.2955531407160608,0.6902288051932168,0.6843300812074591
836,Mercedes-Benz M-Class ML 350 CDI,2014,2500000,79500,Diesel,Individual,Automatic,Second Owner,0.2848324367014921,0.2157170018447861,3.4501893143244864
837,Hyundai Verna 1.6 SX CRDi (O),2013,620000,70000,Diesel,Individual,Manual,Second Owner,0.0811390604246878,-0.0215388998294292,0.2003047154119792
838,Toyota Innova Crysta 2.4 GX MT 8S BSIV,2018,1700000,5000,Diesel,Individual,Manual,First Owner,-1.3125524614692368,1.1647406085416476,2.0672596977659725
839,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2018,650000,15000,Petrol,Individual,Manual,First Owner,-1.0981383811778638,1.1647406085416476,0.2521645760329235
840,Maruti Ertiga VXI,2014,500000,35000,Petrol,Individual,Manual,First Owner,-0.6693102205951177,0.2157170018447861,-0.0071347270717977
841,Tata New Safari DICOR 2.2 EX 4x4,2009,250000,120000,Diesel,Individual,Manual,Second Owner,1.153209461881553,-0.9705625065262908,-0.4393002322463333
842,Mahindra Marazzo M4,2018,950000,15000,Diesel,Individual,Manual,Second Owner,-1.0981383811778638,1.1647406085416476,0.7707631822423662
843,Toyota Etios Cross 1.2L G,2015,320000,60000,Petrol,Individual,Manual,First Owner,-0.1332750198666852,0.4529729035190014,-0.3182938907974633
844,Renault Duster 110PS Diesel RxZ,2013,450000,120000,Diesel,Individual,Manual,First Owner,1.153209461881553,-0.0215388998294292,-0.0935678281067048
845,Mahindra KUV 100 mFALCON D75 K8 AW,2016,350000,90000,Diesel,Individual,Manual,First Owner,0.5099672210074339,0.6902288051932168,-0.266434030176519
846,Maruti Swift Dzire VXI,2015,400000,90000,Petrol,Individual,Manual,First Owner,0.5099672210074339,0.4529729035190014,-0.1800009291416119
847,Maruti Omni MPI STD BSIV,2018,200000,10000,Petrol,Individual,Manual,First Owner,-1.2053454213235502,1.1647406085416476,-0.5257333332812404
848,Hyundai i20 Asta 1.4 CRDi (Diesel),2009,250000,72000,Diesel,Individual,Manual,Second Owner,0.1240218764829624,-0.9705625065262908,-0.4393002322463333
849,Toyota Innova 2.0 GX 8 STR BSIV,2011,550000,197000,Petrol,Individual,Manual,Second Owner,2.804197880125125,-0.49605070317786,0.0792983739631093
850,Maruti Zen LXI,1999,85000,70000,Petrol,Individual,Manual,Second Owner,0.0811390604246878,-3.343121523268444,-0.7245294656615268
851,Hyundai Santro LP zipPlus,2001,52000,50000,Petrol,Individual,Manual,Third Owner,-0.3476891001580582,-2.8686097199200136,-0.7815753123445655
852,Tata Hexa XTA,2017,1200000,50000,Diesel,Individual,Automatic,First Owner,-0.3476891001580582,0.927484706867432,1.2029286874169016
853,Hyundai Verna 1.6 SX VTVT AT,2011,450000,60000,Petrol,Individual,Automatic,Third Owner,-0.1332750198666852,-0.49605070317786,-0.0935678281067048
854,Maruti Swift Dzire VXI 1.2 BS IV,2018,615000,40000,Petrol,Individual,Manual,First Owner,-0.5621031804494312,1.1647406085416476,0.1916614053084885
855,Maruti SX4 ZDI Leather,2012,400000,60000,Diesel,Individual,Manual,Second Owner,-0.1332750198666852,-0.2587948015036446,-0.1800009291416119
856,Tata Nano LX,2013,60000,40000,Petrol,Individual,Manual,First Owner,-0.5621031804494312,-0.0215388998294292,-0.7677460161789803
857,Maruti Ignis 1.2 Alpha BSIV,2017,500000,9161,Petrol,Individual,Manual,First Owner,-1.2233347626599964,0.927484706867432,-0.0071347270717977
858,Honda Mobilio V i VTEC,2015,600000,45000,Petrol,Individual,Manual,First Owner,-0.4548961403037447,0.4529729035190014,0.1657314749980164
859,Hyundai Getz 1.3 GVS,2010,110000,110000,Petrol,Individual,Manual,First Owner,0.9387953815901798,-0.7333066048520753,-0.6813129151440732
860,Hyundai Santro Xing GL Plus,2013,175000,80000,Petrol,Individual,Manual,First Owner,0.2955531407160608,-0.0215388998294292,-0.5689498837986939
861,Ford Fiesta Titanium 1.5 TDCi,2011,325000,100000,Diesel,Individual,Manual,Second Owner,0.7243813012988068,-0.49605070317786,-0.3096505806939726
862,Maruti Swift Dzire LDI,2017,425000,90000,Diesel,Individual,Manual,First Owner,0.5099672210074339,0.927484706867432,-0.1367843786241584
863,Hyundai Accent GLE CNG,2009,160000,70000,CNG,Individual,Manual,Third Owner,0.0811390604246878,-0.9705625065262908,-0.594879814109166
864,Maruti Zen Estilo LXI BSIII,2007,100000,80000,Petrol,Individual,Manual,Third Owner,0.2955531407160608,-1.4450743098747214,-0.6985995353510546
865,Maruti Swift Dzire LDI,2014,390000,110000,Diesel,Individual,Manual,Second Owner,0.9387953815901798,0.2157170018447861,-0.1972875493485934
866,Hyundai i20 1.2 Spotz,2017,400000,50000,Petrol,Individual,Manual,First Owner,-0.3476891001580582,0.927484706867432,-0.1800009291416119
867,Tata Tigor 1.2 Revotron XM,2018,509999,5000,Petrol,Individual,Manual,First Owner,-1.3125524614692368,1.1647406085416476,0.0101501644731629
868,Hyundai i10 Magna 1.1,2008,150000,90000,Petrol,Individual,Manual,Third Owner,0.5099672210074339,-1.207818408200506,-0.6121664343161475
869,Hyundai Santro Xing GLS,2009,110000,120000,Petrol,Individual,Manual,First Owner,1.153209461881553,-0.9705625065262908,-0.6813129151440732
870,Nissan Sunny Diesel XV,2013,450000,80000,Diesel,Individual,Manual,First Owner,0.2955531407160608,-0.0215388998294292,-0.0935678281067048
871,Hyundai i20 1.2 Spotz,2017,400000,38000,Petrol,Individual,Manual,Second Owner,-0.6049859965077058,0.927484706867432,-0.1800009291416119
872,Hyundai Santro Xing GLS,2009,140000,120000,Petrol,Individual,Manual,First Owner,1.153209461881553,-0.9705625065262908,-0.6294530545231289
873,Tata Indigo CR4,2011,130000,90000,Diesel,Individual,Manual,First Owner,0.5099672210074339,-0.49605070317786,-0.6467396747301103
874,Maruti Alto 800 LXI,2017,160000,50000,Petrol,Individual,Manual,First Owner,-0.3476891001580582,0.927484706867432,-0.594879814109166
875,Maruti Alto 800 LXI,2016,150000,60000,Petrol,Individual,Manual,First Owner,-0.1332750198666852,0.6902288051932168,-0.6121664343161475
876,Mahindra XUV500 W8 2WD,2013,500000,100000,Diesel,Individual,Manual,Second Owner,0.7243813012988068,-0.0215388998294292,-0.0071347270717977
877,Tata Nano Std,2011,40000,19000,Petrol,Individual,Manual,First Owner,-1.0123727490613146,-0.49605070317786,-0.8023192565929431
878,Chevrolet Tavera LT L1 7 Seats BSIII,2006,140000,200000,Diesel,Individual,Manual,Third Owner,2.8685221042125373,-1.682330211548937,-0.6294530545231289
879,Mahindra Verito 1.5 D2 BSIV,2015,227000,70000,Diesel,Individual,Manual,Second Owner,0.0811390604246878,0.4529729035190014,-0.4790594587223905
880,Maruti Swift VDI,2011,285000,50000,Diesel,Individual,Manual,Second Owner,-0.3476891001580582,-0.49605070317786,-0.3787970615218983
881,Maruti Alto LX,2012,155000,19077,Petrol,Individual,Manual,Second Owner,-1.010721760643071,-0.2587948015036446,-0.6035231242126567
882,Hyundai EON D Lite,2016,210000,30000,Petrol,Individual,Manual,First Owner,-0.7765172607408042,0.6902288051932168,-0.5084467130742589
883,Maruti Alto LXi,2009,140000,80000,Petrol,Individual,Manual,Second Owner,0.2955531407160608,-0.9705625065262908,-0.6294530545231289
884,Toyota Innova 2.5 GX (Diesel) 7 Seater,2015,940000,128000,Diesel,Individual,Manual,First Owner,1.324740726114651,0.4529729035190014,0.7534765620353847
885,Nissan Terrano XV Premium 110 PS,2013,750000,80000,Diesel,Individual,Manual,First Owner,0.2955531407160608,-0.0215388998294292,0.4250307781027377
886,Maruti Baleno Alpha 1.3,2016,610000,100000,Diesel,Individual,Manual,First Owner,0.7243813012988068,0.6902288051932168,0.1830180952049978
887,Nissan Sunny XV D Premium Leather,2015,450000,50000,Diesel,Individual,Manual,First Owner,-0.3476891001580582,0.4529729035190014,-0.0935678281067048
888,Toyota Etios Liva GD,2012,409999,56000,Diesel,Individual,Manual,First Owner,-0.2190406519832343,-0.2587948015036446,-0.1627160375966512
889,Hyundai EON 1.0 Era Plus,2018,100000,21302,Petrol,Individual,Manual,First Owner,-0.9630146277782404,1.1647406085416476,-0.6985995353510546
890,Renault KWID 1.0 RXT Optional,2018,300000,10500,Petrol,Individual,Manual,First Owner,-1.1946247173089817,1.1647406085416476,-0.3528671312114262
891,Mahindra Bolero 2011-2019 SLX,2013,400000,107000,Diesel,Individual,Manual,First Owner,0.8744711575027679,-0.0215388998294292,-0.1800009291416119
892,Hyundai i10 Sportz 1.2,2010,210000,60000,Petrol,Individual,Manual,Second Owner,-0.1332750198666852,-0.7333066048520753,-0.5084467130742589
893,Hyundai Santro Xing XG eRLX Euro III,2006,90000,120000,Petrol,Individual,Manual,Second Owner,1.153209461881553,-1.682330211548937,-0.715886155558036
894,Maruti Wagon R LXI BS IV,2010,222000,70000,Petrol,Individual,Manual,First Owner,0.0811390604246878,-0.7333066048520753,-0.4877027688258812
895,Maruti Alto 800 LXI,2015,240000,50000,Petrol,Individual,Manual,Second Owner,-0.3476891001580582,0.4529729035190014,-0.4565868524533147
896,Toyota Etios Liva GD,2013,450000,70000,Diesel,Individual,Manual,Second Owner,0.0811390604246878,-0.0215388998294292,-0.0935678281067048
897,Renault Duster 85PS Diesel RxL,2013,450000,1000,Diesel,Dealer,Manual,Second Owner,-1.398318093585786,-0.0215388998294292,-0.0935678281067048
898,Mercedes-Benz C-Class Progressive C 220d,2018,3800000,10000,Diesel,Dealer,Automatic,First Owner,-1.2053454213235502,1.1647406085416476,5.697449941232072
899,Audi A4 3.0 TDI Quattro,2013,1580000,86000,Diesel,Dealer,Automatic,First Owner,0.4242015888908846,-0.0215388998294292,1.859820255282196
900,BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner,-0.7765172607408042,1.401996510215863,7.685411265034934
901,Hyundai Creta 1.6 CRDi SX,2016,535000,52600,Diesel,Individual,Manual,First Owner,-0.2919414392823012,0.6902288051932168,0.0533684436526372
902,Maruti SX4 Vxi BSIV,2012,225000,110000,Petrol,Individual,Manual,Second Owner,0.9387953815901798,-0.2587948015036446,-0.4825167827637868
903,Hyundai Grand i10 1.2 Kappa Magna AT,2017,550000,19890,Petrol,Dealer,Automatic,First Owner,-0.9932898959153824,0.927484706867432,0.0792983739631093
904,Maruti Swift ZXI BSIV,2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner,-1.2674397389759318,0.6902288051932168,0.2867378164468864
905,Maruti Ertiga VXI,2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,-1.164220800723665,0.4529729035190014,0.2089480255154699
906,Hyundai Grand i10 Magna AT,2017,520000,10510,Petrol,Dealer,Automatic,First Owner,-1.19441030322869,0.927484706867432,0.027438513342165
907,Chevrolet Beat LT Option,2016,239000,41000,Petrol,Dealer,Manual,First Owner,-0.5406617724202939,0.6902288051932168,-0.4583155144740128
908,Toyota Fortuner 4x2 AT,2017,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner,-0.4085398161447499,0.927484706867432,3.623055516394301
909,Maruti S-Cross Zeta DDiS 200 SH,2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner,-0.4340122088833649,0.4529729035190014,0.4250307781027377
910,Hyundai i10 Magna,2012,229999,49824,Petrol,Dealer,Manual,First Owner,-0.3514627879711863,-0.2587948015036446,-0.4738752013223168
911,Audi A6 2.0 TDI Premium Plus,2013,1300000,58500,Diesel,Dealer,Automatic,First Owner,-0.1654371319103911,-0.0215388998294292,1.3757948894867158
912,Hyundai Santro GS,2005,80000,56580,Petrol,Dealer,Manual,First Owner,-0.2066046353263347,-1.919586113223152,-0.7331727757650174
913,Skoda Laura Ambiente 2.0 TDI CR MT,2012,385000,52000,Diesel,Dealer,Manual,First Owner,-0.3048062840997836,-0.2587948015036446,-0.2059308594520841
914,Hyundai Verna 1.6 VTVT SX,2015,760000,55340,Petrol,Trustmark Dealer,Manual,First Owner,-0.233191981282465,0.4529729035190014,0.4423173983097191
915,Maruti Swift Dzire VDI,2017,600000,46507,Diesel,Trustmark Dealer,Manual,First Owner,-0.4225839384038348,0.927484706867432,0.1657314749980164
916,Renault Duster 85PS Diesel RxL,2013,450000,1000,Diesel,Dealer,Manual,Second Owner,-1.398318093585786,-0.0215388998294292,-0.0935678281067048
917,Mercedes-Benz C-Class Progressive C 220d,2018,3800000,10000,Diesel,Dealer,Automatic,First Owner,-1.2053454213235502,1.1647406085416476,5.697449941232072
918,Audi A4 3.0 TDI Quattro,2013,1580000,86000,Diesel,Dealer,Automatic,First Owner,0.4242015888908846,-0.0215388998294292,1.859820255282196
919,BMW X5 xDrive 30d xLine,2019,4950000,30000,Diesel,Dealer,Automatic,First Owner,-0.7765172607408042,1.401996510215863,7.685411265034934
920,Hyundai Creta 1.6 CRDi SX,2016,535000,52600,Diesel,Individual,Manual,First Owner,-0.2919414392823012,0.6902288051932168,0.0533684436526372
921,Maruti SX4 Vxi BSIV,2012,225000,110000,Petrol,Individual,Manual,Second Owner,0.9387953815901798,-0.2587948015036446,-0.4825167827637868
922,Hyundai Grand i10 1.2 Kappa Magna AT,2017,550000,19890,Petrol,Dealer,Automatic,First Owner,-0.9932898959153824,0.927484706867432,0.0792983739631093
923,Maruti Swift ZXI BSIV,2016,670000,7104,Petrol,Trustmark Dealer,Manual,First Owner,-1.2674397389759318,0.6902288051932168,0.2867378164468864
924,Maruti Ertiga VXI,2015,625000,11918,Petrol,Trustmark Dealer,Manual,First Owner,-1.164220800723665,0.4529729035190014,0.2089480255154699
925,Hyundai Grand i10 Magna AT,2017,520000,10510,Petrol,Dealer,Automatic,First Owner,-1.19441030322869,0.927484706867432,0.027438513342165
926,Chevrolet Beat LT Option,2016,239000,41000,Petrol,Dealer,Manual,First Owner,-0.5406617724202939,0.6902288051932168,-0.4583155144740128
927,Toyota Fortuner 4x2 AT,2017,2600000,47162,Diesel,Trustmark Dealer,Automatic,First Owner,-0.4085398161447499,0.927484706867432,3.623055516394301
928,Maruti S-Cross Zeta DDiS 200 SH,2015,750000,45974,Diesel,Trustmark Dealer,Manual,First Owner,-0.4340122088833649,0.4529729035190014,0.4250307781027377
929,Hyundai i10 Magna,2012,229999,49824,Petrol,Dealer,Manual,First Owner,-0.3514627879711863,-0.2587948015036446,-0.4738752013223168
930,Audi A6 2.0 TDI Premium Plus,2013,1300000,58500,Diesel,Dealer,Automatic,First Owner,-0.1654371319103911,-0.0215388998294292,1.3757948894867158
